"","Country","AML.Risk","Financial.Inclusion"
"72","Mexico",5.7535021138157,36.9319190979004
"73","Moldova",5.42755604324461,43.7856521606445
"74","Mongolia",6.10028054876242,92.9711685180664
"75","Montenegro",4.75743979313183,68.3617935180664
"76","Morocco",6.38344138394705,28.6444606781006
"77","Mozambique",8.07521012358965,41.6701049804688
"78","Myanmar",7.57576238175682,25.9922981262207
"79","Namibia",6.58922632528323,80.6334991455078
"80","Nepal",7.56686356880456,45.3855743408203
"81","Netherlands",4.93430303824312,99.6376190185547
"82","New Zealand",3.90843815755625,99.1784439086914
"83","Nicaragua",6.64077939866266,30.8619918823242
"84","Niger",7.37708331750085,15.5232448577881
"85","Nigeria",6.90045920267496,39.6668586730957
"86","Norway",4.56095040984954,99.7451400756836
"87","Pakistan",6.63726780458835,21.2932453155518
"88","Panama",7.01110847483829,46.4942588806152
"89","Paraguay",7.52755618244546,48.6468620300293
"90","Peru",5.25423251749693,42.6031799316406
"91","Philippines",6.20467196445089,34.4984092712402
"92","Poland",4.4991701575811,86.7333068847656
"93","Portugal",4.90039140848892,92.3409881591797
"94","Romania",4.50123556949078,57.7518043518066
"95","Russia",6.22174972681063,75.7588882446289
"96","Rwanda",6.69310591657305,50.0197944641113
"97","Saudi Arabia",5.42728673256429,71.6981201171875
"98","Senegal",6.30822828355501,42.3440170288086
"99","Serbia",5.75552915896051,71.441047668457
"100","Sierra Leone",7.13917984280551,19.8087596893311
"101","Singapore",4.83495720236292,97.9311676025391
"102","Slovakia",4.7793234573605,84.1815872192383
"103","Slovenia",4.02055030443458,97.5334014892578
"104","South Africa",5.32487394879491,69.2184906005859
"105","Spain",4.86745307255783,93.7557067871094
"106","Sri Lanka",7.14594345984895,73.6464614868164
"107","Sweden",4.24813983616318,99.7422103881836
"108","Switzerland",5.14522730796376,98.4296646118164
"109","Taiwan",4.33786448402387,94.1796264648438
"110","Tajikistan",8.28399161373153,47.0243949890137
"111","Tanzania",7.88691025202152,46.7515640258789
"112","Thailand",6.64926653585446,81.5940017700195
"113","Trinidad and Tobago",6.80461696311209,80.7833480834961
"114","Tunisia",6.36527291479929,36.906566619873
"115","Turkey",6.6492720414713,68.5903091430664
"116","Uganda",7.95478869009173,59.1991500854492
"117","Ukraine",6.52440053961765,62.9023323059082
"118","United Arab Emirates",6.05969035061391,88.2103881835938
"119","United Kingdom",4.80585153453571,96.3663177490234
"120","United States",4.84648517419036,93.122184753418
"121","Uruguay",5.16478235025458,63.8680038452148
"122","Uzbekistan",6.08759456898842,37.0897369384766
"123","Venezuela",6.53482771092314,73.4945068359375
"124","Vietnam",7.44473774319942,30.7957916259766
"125","Zambia",7.4322833434165,45.8632583618164
"126","Zimbabwe",6.80024514223835,55.2851371765137
